LpId,LpTypeId,externalCameraId,x,y,Date,Hour,,,
1091539,1,LPR-HIK-JER-127,35.227695,31.862105,12/19/2023,25:59.2,,,No
11177501,1,LPR-HIK-JER-124,35.246901,31.714872,12/19/2023,26:54.8,,,No
11464501,4,86_901,35.15813,31.68419,12/19/2023,27:57.6,,,No
1002939,1,LPR-HIK-SHY-24,35.510835,32.12651,12/19/2023,11:15.3,,,No
1028237,4,5119_81,35.273613,32.025231,12/19/2023,12:22.4,,,No
11177501,1,Site102212SouthRear,35.24824522,31.70401518,12/19/2023,28:28.8,,,No
1026167,1,LPR-HIK-SHY-6,34.997738,32.187774,12/19/2023,29:05.3,,,No
11464702,1,LPR-HIK-JER-51,35.111099,31.718702,12/19/2023,31:35.9,,,No
1059388,1,LPR-HIK-JER-13,35.19439,31.80083,12/19/2023,32:18.8,,,No
11464702,1,LPR-HIK-JER-121,35.119739,31.716478,12/19/2023,32:35.0,,,No
11464702,4,25_91,35.155511,31.705935,12/19/2023,37:31.8,,,No
11464702,4,30_901,35.157733,31.704161,12/19/2023,38:29.9,,,No
10979903,4,148_92,35.142033,31.651754,12/19/2023,38:43.1,,,No
1022172,1,LPR-HIK-JER-129,35.227696,31.862571,12/19/2023,40:07.8,,,No
11464501,4,7112_91,35.116222,31.65517,12/19/2023,41:15.4,,,No
1048262,1,LPR-HIK-JER-126,35.263757,31.783185,12/19/2023,42:20.4,,,No
1039179,2,Site101061NorthRear,35.23730922,31.66844224,12/19/2023,43:17.3,,,No
1039179,4,1012_901,35.23772,31.66885,12/19/2023,43:25.4,,,No
11177501,1,Site102202NorthRear,35.24851886,31.70364398,12/19/2023,43:36.7,,,No
11177501,1,LPR-HIK-JER-9,35.247637,31.712889,12/19/2023,44:33.3,,,No
11177501,1,LPR-HIK-JER-123,35.246901,31.714872,12/19/2023,45:03.7,,,No
11612103,4,0639_91,35.2378992,31.9184311,12/19/2023,47:35.6,,,No
1039179,1,Site102202NorthRear,35.24851886,31.70364398,12/19/2023,47:48.7,,,No
11612103,1,Site2-35162SouthRear,31.910757,35.250696,12/19/2023,48:17.5,,,Yes
1039179,1,LPR-HIK-JER-9,35.247637,31.712889,12/19/2023,48:44.5,,,No
1051676,1,Site46611WestFront2,35.255702,31.854076,12/19/2023,50:34.8,,,No
1022172,1,LPR-HIK-JER-130-1,35.221492,31.860571,12/19/2023,50:55.7,,,No
1039179,1,LPR-HIK-JER-123,35.246901,31.714872,12/19/2023,51:55.5,,,No
11090503,1,Site9EastFront3,35.1154249,31.6548222,12/19/2023,52:08.3,,,No
11090503,4,9229_91,35.115611,31.654964,12/19/2023,52:23.4,,,No
1161160,1,Site101061NorthRear,35.23730922,31.66844224,12/19/2023,52:59.4,,,No
1161160,4,1012_901,35.23772,31.66885,12/19/2023,53:10.0,,,No
1161160,1,Site101121EastRear,35.23805161,31.66898951,12/19/2023,53:15.1,,,No
1098431,1,LPR-HIK-JER-13,35.19439,31.80083,12/19/2023,54:50.4,,,No
10995803,1,LPR-HIK-JER-16,35.191218,31.800925,12/19/2023,55:51.8,,,No
1161160,1,Site102202NorthRear,35.24851886,31.70364398,12/19/2023,57:19.8,,,No
11090503,1,GUSHLPR7,35.13144462,31.64659165,12/19/2023,57:22.4,,,No
11090503,4,161_91,35.141773,31.651222,12/19/2023,57:55.2,,,No
1060356,4,525_91,35.1322229,31.5193898,12/19/2023,58:10.9,,,No
1161160,1,LPR-HIK-JER-9,35.247637,31.712889,12/19/2023,58:12.8,,,No
1161160,1,LPR-HIK-JER-123,35.246901,31.714872,12/19/2023,58:32.8,,,No
10810602,1,LPR-HIK-MKZ-2,35.006085,32.040225,12/19/2023,58:39.1,,,No
1075334,1,LPR-HIK-JER-3,35.191073,31.72583,12/19/2023,58:41.9,,,No
1060356,4,129_91,35.133017,31.504973,12/19/2023,59:49.0,,,No
1060356,4,246_91,35.142664,31.490412,12/19/2023,01:31.9,,,No
