IshitId,ExternalCameraId,cameraType,Source,Name,IsDeleted,LastUpdateDate,folderName,siteName,brigadeName,x,y
12601,LPR-HIK-SHY-23-2,LPR,משטרה - הרכשה,"צ. מעלה ישראל, כ. 505, למערב",0,2023-11-13 10:23:49.018,עין הנץ,צ. מעלה ישראל,חטמר אפרים,35.1045257164852,32.1171933593741
11401,LPR-HIK-SHY-16-2,LPR,משטרה - הרכשה,צ. נעלה כ. 463 למזרח מ-י,0,2022-08-09 15:36:34.292,עין הנץ,צ. נעלה כ. 463,חטמר אפרים,35.06674,31.961334
11400,LPR-HIK-SHY-16-1,LPR,משטרה - הרכשה,צ. נעלה כ. 463 למערב מ-י,0,2022-08-09 15:36:16.103,עין הנץ,צ. נעלה כ. 463,חטמר אפרים,35.06674,31.961334
11730,LPR-HIK-SHY-9-1,LPR,משטרה - הרכשה,צ. עזון מערב כ. 55 למזרח,0,2022-10-13 15:04:54.994,עין הנץ,צ. עזון,חטמר אפרים,35.051267,32.182495
11731,LPR-HIK-SHY-9-2,LPR,משטרה - הרכשה,צ. עזון מערב כ. 55 למערב,0,2022-10-13 15:05:04.006,עין הנץ,צ. עזון,חטמר אפרים,35.051267,32.182495
12439,LPR-HIK-SHY-27,LPR,משטרה - הרכשה,"צ. קרית נטפים, כ. 505, למזרח",0,2023-10-10 14:56:17.987,עין הנץ,צ. קרית נטפים,חטמר אפרים,35.1168853,32.1131699
12438,LPR-HIK-SHY-26,LPR,משטרה - הרכשה,"צ. קרית נטפים, כ. 505, למערב",0,2023-10-10 14:56:10.284,עין הנץ,צ. קרית נטפים,חטמר אפרים,35.116581,32.113416
11647,167_81,LPR,נתיקות - הרכשה,לכיוון קדומים (5 מגה)(נתיקות),0,2023-09-12 16:04:37.691,"מצלמות נתיקות ",צומת 094 - מזרח-מערב (34),חטמר אפרים,35.133203,32.186044
11648,167_82,LPR,נתיקות - הרכשה,"לכיוון קרנ""ש (5 מגה)(נתיקות)",0,2023-09-12 16:05:01.594,"מצלמות נתיקות ",צומת 094 - מזרח-מערב (34),חטמר אפרים,35.133203,32.186044
11649,196_90,LPR,נתיקות - הרכשה,לכיוון יקיר/ברקן (7 מגה)(נתיקות),0,2023-06-27 10:12:25.047,"מצלמות נתיקות ",צומת 094 - צפון-דרום (34),חטמר אפרים,35.133328,32.184754
