LpId,LpTypeId,externalCameraId,x,y,Date,Hour
1161160,1,LPR-HIK-JER-123,35.246901,31.714872,2023-12-19,12:58:32.775
10810602,1,LPR-HIK-MKZ-2,35.006085,32.040225,2023-12-19,12:58:39.051
1075334,1,LPR-HIK-JER-3,35.191073,31.72583,2023-12-19,12:58:41.903
1060356,4,129_91,35.133017,31.504973,2023-12-19,12:59:49.030
1060356,4,246_91,35.142664,31.490412,2023-12-19,13:01:31.894
1075334,1,LPR-HIK-JER-114,35.169831,31.70624,2023-12-19,13:03:14.198
11329903,1,LPR-HIK-JER-130-2,35.221492,31.860571,2023-12-19,13:03:18.609
11329903,1,LPR-HIK-JER-128,35.227695,31.862105,2023-12-19,13:04:08.446
10995803,1,LPR-HIK-JER-38,35.261584,31.783971,2023-12-19,13:04:18.478
10995803,1,LPR-HIK-JER-126,35.263757,31.783185,2023-12-19,13:04:32.085
1070331,1,LPR-HIK-JER-141,35.25934,31.798798,2023-12-19,13:05:48.461
1060356,4,1224_91,35.164313,31.418416,2023-12-19,13:11:40.978
1060356,4,68_901,35.150749,31.416641,2023-12-19,13:12:44.677
10652001,1,LPR-HIK-JER-3,35.191073,31.72583,2023-12-19,13:14:49.098
10652001,1,LPR-HIK-JER-114,35.169831,31.70624,2023-12-19,13:17:20.829
1060356,1,LPR-HIK-DRM-4,35.112829,31.372193,2023-12-19,13:18:10.743
11612103,1,LPR-HIK-JER-26,35.17698,31.87185,2023-12-19,13:22:21.098
1024168,1,LPR-HIK-JER-70,35.289782,31.784179,2023-12-19,19:44:25.906
11216701,1,LPR-HIK-JER-38,35.261584,31.783971,2023-12-19,13:24:25.428
11216701,1,LPR-HIK-JER-126,35.263757,31.783185,2023-12-19,13:24:40.515
11632202,1,LPR-HIK-JER-16,35.191218,31.800925,2023-12-19,13:25:26.854
10979903,4,161_92,35.142069,31.651386,2023-12-19,13:26:55.776
10688402,1,LPR-HIK-JER-38,35.261584,31.783971,2023-12-19,13:27:26.820
10688402,1,LPR-HIK-JER-126,35.263757,31.783185,2023-12-19,13:27:41.790
